Order,ID,Strain,Family,Sex,Timepoint,Pass,Weight,Dose,Inj. Time,Blood Time,Color,BEC,TIMEHOUR,
150,36.3,iHDID-2,IB529B,M,60,B,23.3,0.37,02:02:00,03:02:00,Black,3.07287,1,
151,3.1,iHDID-1,IB504.F(2),F,60,B,20.2,0.32,02:04:00,03:04:00,White,2.74753,1,
152,25.1,iHDID-2,IB552,F,60,B,23.7,0.37,02:06:00,03:06:00,Black,2.928,1,
153,38.3,iHDID-2,IB552,M,60,B,28.8,0.46,02:08:00,03:08:00,Black,2.88062,1,
154,34.1,iHDID-2,IB558,M,60,B,29.1,0.46,02:10:00,03:10:00,Brown,3.00322,1,
155,55.1,HS/Npt,1510,M,60,B,27.6,0.44,02:12:00,03:12:00,Black,2.71704,1,
156,46.1,HS/Npt,1510,F,60,B,28.4,0.45,02:14:00,03:14:00,White,2.61918,1,
157,52.1,HS/Npt,1528,M,60,B,28.2,0.44,02:16:00,03:16:00,Black,2.66232,1,
158,53.4,HS/Npt,1534,M,60,B,24.4,0.39,02:18:00,03:18:00,Black,2.25752,1,
159,48.4,HS/Npt,1542,F,60,B,29.6,0.47,02:20:00,03:20:00,Black,2.88854,1,
160,18.1,iHDID-1,IB504.D(2),M,60,B,25.9,0.41,02:22:00,03:22:00,White,2.79906,1,
161,7.1,iHDID-1,IB504.D(2),F,60,B,19,0.3,02:24:00,03:24:00,White,3.05145,1,
162,42.5,HS/Npt,1541,F,60,B,24.2,0.38,02:26:00,03:26:00,Black,3.96603,1,
163,50.2,HS/Npt,1541,M,60,B,28,0.44,02:28:00,03:28:00,Black,2.52001,1,
164,29.2,iHDID-2,IB557,F,60,B,20.5,0.32,02:30:00,03:30:00,Dilute Brown,2.35632,1,
165,1.4,iHDID-1,IB504.E(2),F,60,B,19.5,0.31,02:32:00,03:32:00,White,2.72523,1,
166,44.4,HS/Npt,1534,F,60,B,20.7,0.32,02:34:00,03:34:00,Black,2.34839,1,
167,31.3,iHDID-2,IB529B(2),M,60,B,30.7,0.48,02:36:00,03:36:00,Black,2.5892,1,
168,14.1,iHDID-1,IB504.K,M,60,B,24,0.38,02:38:00,03:38:00,White,1.6945,1,
169,4.2,iHDID-1,IB504.K,F,60,B,21.1,0.33,02:40:00,03:40:00,White,2.21725,1,
170,41.2,iHDID-2,IB557,M,60,B,24.2,0.38,02:42:00,03:42:00,Dilute Brown,3.44659,1,
171,27.2,iHDID-2,IB529B(2),F,60,B,21.6,0.34,02:44:00,03:44:00,Brown,2.67793,1,
172,12.1,iHDID-1,IB504.F(2),M,60,B,26,0.41,02:46:00,03:46:00,White,3.09421,1,
173,8.3,iHDID-1,IB504.D(2),F,60,B,19.5,0.31,02:48:00,03:48:00,White,3.11178,1,
174,22.3,iHDID-2,IB529B(3),F,60,B,19.9,0.32,02:50:00,03:50:00,Brown,3.19046,1,
175,16.1,iHDID-1,IB504.F,M,60,B,25.6,0.4,02:52:00,03:52:00,White,2.80931,1,
176,20.2,iHDID-2,IB534B(2),F,60,B,16.2,0.25,02:54:00,03:54:00,?,3.39948,1,
177,57.2,HS/Npt,1509,M,60,B,26.4,0.42,02:56:00,03:56:00,Black,2.90219,1,
178,10.1,iHDID-1,IB504.E(2),M,60,B,25.3,0.4,02:58:00,03:58:00,White,4.92859,1,
